Auteur,Coauteurs,Date,Langue,Titre,Summary
Groh Alexander,,01/04/2012,anglais,The Capital Flow from Institutional Investors to Entrepreneurs,"This article deals with the two-stage capital allocation process. It first describes current knowledge from research about institutional investors' criteria when they search promising countries. Next it documents research results on their selection of particular venture capital funds. This is followed by the discussion of the second step of the capital flow, from the venture capital funds to the entrepreneurs. It discusses the literature on venture capitalists' sorting criteria for entrepreneurial ventures and provides concluding remarks."
Groh Alexander,Lieser,01/04/2012,anglais,The determinants of international commercial real estate investments,"We examine the determinants of commercial real estate investments using a unique set of panel data series for 47 countries worldwide ranging from 2000 to 2009. We explore how different socio-economic, demographic and institutional characteristics affect commercial real estate investment activity through, both, cross-sectional and time-series analyses, running augmented random effect panel regressions. We provide evidence that economic growth, rapid urbanization and compelling demographics attract real estate investments and also confirm that lack of transparency in the legal framework, administrative burdens of doing real estate business, socio-cultural challenges and political instabilities of countries reduce international real estate allocations."
Groh Alexander,Lieser,01/04/2012,anglais,The determinants of international commercial real estate investments,"We examine the determinants of commercial real estate investments using a unique set of panel data series for 47 countries worldwide ranging from 2000 to 2009. We explore how different socio-economic, demographic and institutional characteristics affect commercial real estate investment activity through, both, cross-sectional and time-series analyses, running augmented random effect panel regressions. We provide evidence that economic growth, rapid urbanization and compelling demographics attract real estate investments and also confirm that lack of transparency in the legal framework, administrative burdens of doing real estate business, socio-cultural challenges and political instabilities of countries reduce international real estate allocations."
Nairn Agnès,,01/04/2012,anglais,After the Riots,A report into last summer's riots concludes that brands must take responsibility for their influence on young people
ANTIOCO Michael,SMEESTERS LE,01/03/2012,anglais,Take Your Pick: Kate Moss or the Girl Next Door?,"In the last several years, marketers have started to use nonidealized"" models in advertisements (i.e., ""Dove's Campaign for Real Beauty""). Little is known, however, about the effects of ""nonidealized"" advertising on consumers and whether this type of advertising-when compared to idealized advertising-is truly beneficial for the branded products promoted in these ads. Based on a sample of 347 French women exposed to either idealized or ""nonidealized"" models, the authors established that the way these advertising models have an effect on brand responses-specifically, the attitude toward (and the purchase intention of) a brand-operates through a dual-process model.When a viewer had a high sense of self-esteem, it was crucial that both processes be understood simultaneously: the effect of the portrayed model's body image on the brand responses can be suppressed by the model-evaluation process. The authors also note that consumers' ages influenced the self-evaluative process following a quadratic function.Their place of residence (i.e., urban versus rural) influenced the self- and model-evaluation processes."""
Bertoni Fabio,D'Adda Grilli,01/03/2012,anglais,Cherry Picking or Frog Kissing? The Matching Process between Investors and Entrepreneurial Ventures in Thin Venture Capital Markets,"In this paper we explore the matching process between entrepreneurs and investors in thin venture capital (VC) markets. We develop a simple theoretical model of the two-step matching process between entrepreneurs and investors in which VC is in extremely scarce supply and firms have to incur an entry cost to actively seek it. The model explains why in thin VC markets: (i) VC might not be attracted by the best-performing companies (“cherry picking”) but by the companies that need it most (“frog kissing”), and (ii) even if the number of companies that could potentially benefit from VC is very high, the actual deal flow for VC could be meager. We empirically test the predictions of the “frog kissing” equilibrium through survey-based data (RITA directory) collected in 2004 on a sample of 202 New Technology-Based Firms (NTBFs) that operate in Italy. The empirical evidence supports the “frog kissing” argument. First, entry costs and the degree of development of the VC market are both found to substantially affect the likelihood of a NTBF to actively seek VC. Second, NTBFs financed by VC are the least endowed with complementary assets."
Courpasson David,Golsorkhi Sallaz,01/03/2012,anglais,"Rethinking Power in Organizations, Institutions, and Markets","Power and domination once occupied center stage in organizational sociology. But as the field developed, the concept of power was marginalized and its overall significance for the drama of organization life neglected. Normative critiques of domination were recast as puzzles of obedience to authority, while scholars wishing to study the concrete workings of power regimes found themselves groping in the shadows. In this introduction, we advocate putting power and domination back on the agenda. Following the lead of classical theorists of power, we argue that organizations should be seen as scenes of struggles and as political projects to be constantly achieved and reconstructed. We critique structural and abstract perspectives that neglect the constant engagement of people in the negotiation of rules, meanings, and destinies. And we survey novel ideas that can help us to see power not as an abstract entity but as a pattern of interactions and social relationships that is instantiated in specific projects of domination and resistance. It is through this lens that power studies can be reinvigorated."
Courpasson David,Clegg,01/03/2012,anglais,The Polyarchic Bureaucracy,"Many bureaucracies still exist, and not just in the public sector. Increasingly, however, we would argue that they are more likely to evolve towards polyarchic forms because of the growing centrality of stakeholder resistance, especially that which is premised on empowerment of key employees. We suggest that managerial responses to this resistance are transforming bureaucracies through process of accommodation: upper echelon managers invent responses to contentious acts and voices so as to reintegrate ‘resisters’ while rewarding them for contesting decisions in a cooperative way. Understanding these processes help us understand why traditional bureaucracy is currently transforming itself as a result of the emergence of new forms of resistance in the workplace."
Groh Alexander,WICH,01/03/2012,anglais,Emerging economies' attraction of foreign direct investment,"This paper uses a composite measure to examine why some countries attract more foreign direct investment (FDI) than others. The measure considers all identified, measurable, and comparable socioeconomic aspects that affect FDI decisions on an aggregated country level. As a result, we can rank 127 countries with respect to their FDI attraction. The measure allows detailed strength and weakness analyses and enhances the discussion of why FDI flows are concentrated in advanced economies. Additionally, the findings reveal the areas in which emerging countries should improve in order to narrow existing gaps. Our robustness checks indicate that the composite measure accurately tracks real FDI activity."
Nairn Agnès,CLARKE,01/03/2012,anglais,Researching children,"As the role of children in society becomes more prominent, their participation in research seems set to increase. In this paper we review whether we are getting the ethics of children's research right. We show that, since the late 1980s, children have been treated universally as a special case and that they have been accorded their own special set of human rights (UNCRC), which primarily grants them rights to protection and participation. We go on to argue (with practical examples) that the core MRS research principles of well-being, voluntary informed consent and privacy/confidentiality must be applied to children with particular caution and care. We note that, as research with children grows and as new techniques are developed, we are presented with fresh challenges for keeping children safe and maintaining their trust. We end by presenting the results of a survey that sought children's views on being research participants in a quite sensitive piece of research. We found that children are highly appreciative of being consulted about their lives in general and being asked about their feelings. However we also found that some children can be uncomfortable with some of the issues raised and can feel compelled to answer the questions. We conclude that, while we have good industry codes, ethics evolves with shifting social, political and cultural patterns, and we need to keep challenging ourselves to maintain best practice."
JANCZAK Sergio,Barès Fayolle,01/02/2012,anglais,Can business assistance systems perform their task?,"This paper summarizes the presentations by invited speakers and discussions at a Professional Development Workshop held at the Academy of Management Conference in Montréal, Canada, on 7 August 2010. Participants exchanged views and experiences concerning the need to develop more theoretical approaches in business assistance systems, and suggested ways to work in that direction."
Lawton Thomas,Doh SCHOTTER,01/02/2012,anglais,Airasia X: Can the low cost model go long haul?,"By 2007, AirAsia had become one of the most successful budget airlines in the world. Having conquered Southeast Asia, and entered China and India, AirAsia was poised to solidify its place as one of the foremost budget airlines and one of the most consistently profitable globally. But company founder Tony Fernandes had bigger plans. From the outset in 2001, Fernandes had intended to offer long haul service, competing against the largest and most established airlines in the world. However, his advisors had urged him to focus on regional, short to medium distance service. With many successes under his belt, Fernandes was once again ready to tackle long haul. Despite persistent claims from industry insiders that low cost long haul flights would never be profitable, Fernandes pushed forward with the expansion. Hiring 36-year-old Azran Osman-Rani as the CEO for the new long haul venture, nicknamed X, was a critical step in this process. X’s inaugural flight to Australia took place in November 2007. In early 2010, X received its eleventh aircraft and was flying to 15 destinations on three continents. However, over time the substantial differences between long haul and short haul operating requirements became more apparent. Consequently, the management decided to formally separate X from AirAsia. This separation, and the inherent challenges for X and its recently appointed head of Commercial Operations, Darren Wright included: (1) how best to leverage the extensive network of the regional sister company AirAsia in selecting new and profitable destinations for X, (2) how to increase revenues without raising ticket prices, (3) how best to globally position the airline’s brand in non-Asian markets, (4) how to shift his marketing team’s mentality away from a start-up mindset, and (5) how to prepare for a global initial public offering within the next 12 months.Learning Objective:This case is designed primarily for use in full-time and executive MBA program modules on strategic management, international strategy, strategic marketing management, entrepreneurship or business policy. It could also be used in more specialized masters programs that focus on strategy or marketing, or for senior undergraduate classes in strategic management, strategic marketing management and international business. Given that it has a strong innovation focus, it could also be incorporated into courses on innovation and creativity. Issues:Aerospace; strategic marketing management; competitive strategy; expansion; emerging markets; MalaysiaDisciplines:General Management/Strategy, International, Entrepreneurship Industries:Other Services Setting:Malaysia; , Large, 2011Intended Audience:Undergraduate/MBA."
ZAYATI Ahlem,BIENNIER MOALLA BADR,01/02/2012,anglais,Towards lean service bus architecture for industrial integration infrastructure and pull manufacturing strategies,"The Lean Manufacturing approach requires advanced and efficient manufacturing technologies in order to meet customer demands. Manufacturing companies have increased their productivity and efficiency over time by implementing new strategies, business processes and IT solutions. Best practices also allow companies to achieve on-demand manufacturing through the integration of pull flow production strategy. In order to achieve agility to meet business needs, a key for success is a flexible integration of different information system components to enable the flow of exchanged data and information. To insure the agility of an enterprise’s organization, ISA S-95 standard can be used to determine which information has to be exchanged between system components. We propose an Industrial System Integration Architecture, a Lean Enterprise Service Bus which relies on Lean Manufacturing constraints based on semantic aspects with respect to the ISA S-95 standard. This architecture aims at enhancing the interoperability between the production system and the global enterprise information system in terms of business and manufacturing requirements and establishes semantic interoperability to achieve an industrial semantic."
Bian Dong,LUAN JIAO,01/01/2012,anglais,How to maximize Starbucks’ influence through digital marketing?,"Since digital marketing is an irreversible trend and it plays an important role in marketing strategy, it will be valuable to find out the key drivers of digital marketing operations for a company. Starbucks has been performing well in digital marketing in the United States. Its experience is worth discussing and analysing to see how to use various digital marketing platforms and what improvements can be made. As China is a fast emerging market in digital marketing development and the second largest coffee market of Starbucks, the company has made a lot of efforts on digital marketing in China. However, the Chinese market is quite different from that of the US, so studies and analysis deserve to be done in order to absorb the successful experiences in the American market and to adapt properly to the Chinese market. This case is designed to help marketers better understand the use of social media in digital marketing as well as relative consumer needs to improve the operations in an international scope."
Bian Dong,SHEN,01/01/2012,anglais,HTH'S Exploration in China (A),"This is part of a case series. HTH is a high-end home furnishing fabrics manufacturer and distributor. The company established showrooms, set up sales teams, and mange distributors to promote its products all over the world. HTH's creations are very popular among many developed countries. But the executive team of HTH gradually realized that the demands from the market of developed countries are actually getting to saturation. Board members were thinking to explore business opportunities in emerging countries, like China. Before making any decisions, a market research is necessary, since it will determine whether to enter the Chinese market and what market entry strategies should be formulated and thereafter implemented. This case series focus on market information collection, information channel evaluation, market situation analyses and choices on appropriate entry strategies. After discussion on this case, students will understand how to conduct preliminary market research and how to, accordingly, work out an entry solution, when a firm would like to develop the Chinese market. It is suggested to be taught at the beginning strategic management course, when students try to learn how to analyze a market, formulate strategies but do not know how to pick up and evaluate information sources."
Bian Dong,SHEN,01/01/2012,anglais,HTH'S Exploration in China (B),"This is part of a case series. HTH is a high-end home furnishing fabrics manufacturer and distributor. The company established showrooms, set up sales teams, and mange distributors to promote its products all over the world. HTH's creations are very popular among many developed countries. But the executive team of HTH gradually realized that the demands from the market of developed countries are actually getting to saturation. Board members were thinking to explore business opportunities in emerging countries, like China. Before making any decisions, a market research is necessary, since it will determine whether to enter the Chinese market and what market entry strategies should be formulated and thereafter implemented. This case series focus on market information collection, information channel evaluation, market situation analyses and choices on appropriate entry strategies. After discussion on this case, students will understand how to conduct preliminary market research and how to, accordingly, work out an entry solution, when a firm would like to develop the Chinese market. It is suggested to be taught at the beginning strategic management course, when students try to learn how to analyze a market, formulate strategies but do not know how to pick up and evaluate information sources."
Bonini Stefano,ALKAN Salvi,01/01/2012,anglais,The Effects of Venture Capitalists on the Governance of Firms,"Research Question/Issue: What determines venture capitalists influence on the governance of firms? How do venture capitalists shape the governance of their investees? Are venture capitalists governance practices consistent across countries? These important questions are under-investigated in the extant literature. In this study, we shed light on the effects of venture capital investors on a large set of governance decisions and we discover the existence of striking cross-country differences. Research Findings/Insights: We test our conjectures on a unique hand-collected questionnaire-based dataset of 164 companies in five countries and two regions (Europe and the US). Our empirical results show that there is a strong and positive relationship between VCs' funding and their influence on some factors like decisions on CEO hiring, executive compensation, board decisions and appointments. Employee incentives are also positively related to the proportion of VC funding. On the other hand, results show that the proportion of VC funding is only marginally significant in explaining VC influence on strategy direction and investment planning. Our analysis though, offers a remarkably different view after splitting data into European and American subsamples. Theoretical/Academic Implications: Our results provide a novel view of the functioning of the Venture Capital industry and its degree of pervasiveness in the management of portfolio companies. Adopting a unique dataset, we add new evidence on detailed governance decisions, thus supporting the idea that the incremental contribution of a professional investor to a new venture is largely exceeding the capital infusion only. Finally, we show that governance decisions exhibit significant country effects. This evidence supports the view that a global theory of corporate governance cannot rely on a single interpretation framework such as agency theory, but needs to be integrated with predictions from alternative views such institutional theory. Practitioner/Policy Implications: Corporate governance is the essential mechanism allowing proper management of financial and corporate resources by aligning incentives of employees and investors, thus enabling oversight and control on companies. Yet, corporate governance rules and mechanisms are costly and have different effectiveness across countries. Our results provide guidance to investors in selecting the appropriate set of governance provisions conditional on a set of investment-specific factors."
CALAMEL Ludivine,Defélix Picq Retour,01/01/2012,anglais,Inter-organisational projects in French innovation clusters,"Having received considerable attention from central government and local authorities, French innovation clusters (the so-called ‘pôles de compétitivité’) are beginning to be studied by academic researchers and evaluated by consultants. The core of their activity consists of collaborative projects, which are characterised by specific management and Human Resources practices located at the junction of different cultures and employment statuses. Almost four years after they were launched, what can we say about the dynamic of these collaborative projects? What is the reality of such collaboration when it involves multiple partnerships bringing together employees from different occupational cultures and Human Resources Management systems? The aim of this longitudinal research, which is based on the observation of two collaborative projects in one of the most largest clusters in France, is to discuss management and HR issues in such a setting. A literature review highlights the need to open up the ‘black box’ of collaboration within projects and encourages examination of both manager's coordination efforts and the actors' motivation to cooperate, as well as the role played by HRM practices. Thus observation of the conduct of the projects over two years reveals that collaboration, far from being a given within these projects, is the product of a process of social construction that might be fostered by better managerial support."
Gong Yeming,Yucesan,01/01/2012,anglais,Stochastic optimization for transshipment problems with positive replenishment lead times,"Transshipments, monitored movements of material at the same echelon of a supply chain, represent an effective pooling mechanism. Earlier papers dealing with transshipments either do not incorporate replenishment lead times into their analysis, or only provide a heuristic algorithm where optimality cannot be guaranteed beyond settings with two locations. This paper uses infinitesimal perturbation analysis by combining with a stochastic approximation method to examine the multi-location transshipment problem with positive replenishment lead times. It demonstrates the computation of optimal base stock quantities through sample path optimization. From a methodological perspective, this paper deploys a duality-based gradient computation method to improve computational efficiency. From an application perspective, it solves transshipment problems with non-negligible replenishment lead times. A numerical study illustrates the performance of the proposed approach."
Lawton Thomas,Rajwani Reinmoeller,01/01/2012,anglais,Do you have a survival instinct?,"It is too easy to blame market turbulence or unexpected events for a company's poor performance; yet, this is frequently the response of managers to circumstances and activities beyond their immediate control. As a consequence, managers and owners often fail to develop strategies for coping with challenge or crisis the next time it occurs. The result is that many organizations are doomed to repeat the same or similar mistakes over and over again in a form of corporate déjà vu. To gain insights regarding how companies can better manage in hostile environments, we consider the solutions that have evolved in nature over billions of years. We trace nature's codes for adapting to hostile environments and explore the underlying characteristics of four genetic code types that can help business organizations to offset the negative implications of hostility through ensuring strategic fit. We then link the four genetic codes most frequently found in nature with organizational capabilities. When correctly identified and leveraged, these capabilities can enable a company to focus attention and resources on how to manage successfully in hostile environments."
Lipuma Joseph,HOEHN-WEISS,01/01/2012,anglais,Too Much of a Good Thing?,"Drawing on insights from the resource-based view and institutional theory, we examine how functional-type alliances, alliances with large industry partners, CVC, and interactions between alliances and CVC influence international intensity. Initial results support the notion that alliances and CVC appear to be supplements, rather than complements, which has important implications for resource-constrained new ventures evaluating different types of partnerships. We extend research on the identification of resources relating to and the effect of different types of partnerships on new-venture internationalization behavior, and we provide insights for entrepreneurs evaluating international strategies"
RIAD Sally,Vaara ZHANG,01/01/2012,anglais,The intertextual production of international relations in mergers and acquisitions,"While studies on international management have focused on cultural differences and examined institutional specificities in various national business systems, conceptions of international relations have been left relatively underexplored. We argue that representations of international relations are relevant to international M&As and contend that intertextuality offers a novel approach to examine these relational features of international management. Our analysis focuses on Sino–US relations in the context of the acquisition of American IBM’s Personal Computer Division (PCD) by the Chinese company, Lenovo. We demonstrate the ways in which facets of international relations are produced in media accounts of this acquisition, and analyse the intertextual dynamics entwined with their production. The analysis consists of three sections: constitutive intertextuality, manifest intertextuality and intertextual ideological undercurrents. These illustrate the variation in producing international relations through discursive themes (threat to security/peaceful rise), emotion rhetoric (fear/cheer) and ideology (cold war/globalism). In summary, the paper elucidates the ways in which international M&As are immersed in a seascape of intertextual international relations."
Vaara Eero,Sarala STAHL Bjorkman,01/01/2012,anglais,The impact of organizational and national cultural differences on social conflict and knowledge transfer in international acquisitions,"The purpose of this paper is to elucidate the effects of organizational and national cultural differences on international acquisitions. We argue that cultural differences prompt social identity building that leads to ‘us versus them’ thinking and thereby creates the potential for social conflict. We also maintain that the same cultural differences can contribute to learning in terms of knowledge transfer. We develop a structural equation model to test these hypothesized effects on a sample of related international acquisitions. Our analysis shows that cultural differences at the organizational level are positively associated with social conflict, but that national cultural differences can decrease social conflict. Furthermore, both organizational and national cultural differences are positively associated with knowledge transfer. This analysis shows the importance of disentangling the various effects that cultural differences have on international acquisitions. It also suggests that national cultural differences are less of a problem in international acquisitions than is usually assumed."
COGET Jean-François,Haag GIBSON,01/12/2011,anglais,Anger and fear in decision-making,"Anger and fear are frequently felt and impactful workplace emotions, especially in times of crisis when critical decisions need to be made. An important question is how these emotions might influence decision makers’ depth of processing: whether when feeling angry or fearful decision-makers engage in more conscious and analytical rational decision making, or less-conscious and heuristic intuitive decision making. To date research on the effect of these strong emotions has been limited to laboratory studies where the complexity and pressures of real-world managerial decisions are absent, and focused on generalized mood rather than on direct emotional experience. This study asks two research questions: Do anger and fear facilitate the use of intuitive or rational decision-making? And what is the impact of these emotions on decision effectiveness? We examine these phenomena in the crisis-laden field setting of film directors actively engaged in directing motion pictures. Data were gathered by shadowing and interviewing seven film directors. A qualitative analysis of the video and audio transcripts revealed that film directors engage in two types of intuitive decision-making, based on whether the decision was driven by expertise or personal emotional experience. Rational decision-making occurred when directors, driven by feelings of moderate fear and little previous experience with a situation, relied on a more conscious, deliberative decision-making process. Four types of decision effectiveness are identified: task, personal, growth, and leadership. The implications of emotion-driven decision-making on each of these types of effectiveness are explored."
Halkias Daphne,Thurman Smith Nason,01/12/2011,anglais,Father-daughter Succession in Family Business,"To whom does a father, retiring from his life as a successful entrepreneur, pass control of the business he has built? Once it would always have been his eldest son, but increasingly women are becoming involved in family firms having risen to positions of influence and leadership. Using revealing case studies from the daughters who succeeded their entrepreneur fathers in a wide variety of challenging situations, cultures and continents, Father-Daughter Succession in Family Business"" discusses the changes which have led to daughters gaining influence in more and more family businesses. It looks at the tensions this succession can produce between old notions of how men and women should behave, and the new style of leadership that often comes about when a woman takes the helm. This book will help consultants, business educators, and researchers, as well as those who are themselves involved in significant family managed enterprises to better understand why it can no longer be assumed in any part of the World that the first born son will take over the reins of the family business."""
Neri Cassio,Schneider,01/12/2011,anglais,Maximum entropy distributions inferred from option portfolios on an asset,"We obtain the maximum entropy distribution for an asset from call and digital option prices. A rigorous mathematical proof of its existence and exponential form is given, which can also be applied to legitimise a formal derivation by Buchen and Kelly (J. Financ. Quant. Anal. 31:143–159, 1996). We give a simple and robust algorithm for our method and compare our results to theirs. We present numerical results which show that our approach implies very realistic volatility surfaces even when calibrating only to at-the-money options. Finally, we apply our approach to options on the S&P 500 index."
Ates Zelal,Prange,01/11/2011,anglais,Customer Participation in Firms' Internationalization Strategy,"International strategy research focuses on the fundamental choice between local adaptation, global aggregation, or cross-national arbitrage. The Adaptation-Aggregation- Arbitrage (AAA) triangle summarizes these options and suggests that the more firms balance the three strategies, the greater the success they experience in internationalization. We extend this AAA framework by investigating the role of customer participation. Based on a review of the relevant literature, we identify three stages of customer influence, i.e., customization, co-creation, and co-formation (CCC). These are used to develop a combined framework of AAA-CCC strategies. Four case examples illustrate that some combinations are more likely to yield success than others."
Dattée Brice,Autio,01/11/2011,anglais,Externalities and control mechanisms in business ecosystems,"In distributed contexts, firms face a dilemma between value creation through leveraging externalities and value appropriation through maintaining “control”. This paper proposes that, within a future contingent, five types of externalities (network effects, complementary products, horizontalization, complementary assets, interconnect coupling) contribute to value creation in distributed contexts. Externalities leverage expectations of value creation through non-linear mechanisms which lie outside direct organizational control. To overcome this open-control dilemma, control must be reconceptualized for distributed contexts. Excludability of others granted by ownership rights; influencing through tactics not necessarily co-extensive with ownership; and monitoring of dynamics are the three immanent modalities of an integrative view of control. Based on these five types of externalities and three modalities of control propositions are made to successfully play the ecosystem game."
Fattoum Asma,Delmar,01/11/2011,anglais,The impact of separated voting and cash-flow rights on French IPO valuation,"This paper examines how the use of mechanisms separating voting rights from cash flow rights – such as dual share classes, pyramid structures and voting pacts agreements– influence the valuation of firms at IPO. We claim that these mechanisms, adopted by founder-CEOs to insulate them against the market for corporate control and to maintain private benefit extraction, have negative effects on IPO valuation. However, we also claim the negative impact of these disconnecting mechanisms on IPO valuation to be moderated by (1) firm size and age and (2) founder-CEO’s status and equity retained at the IPO. We examine our claims using a unique hand-collected dataset of all 258 IPO’s involving founder-CEOs completed in the French capital markets from 1995 to 2010. We find support for our first claim. We found only mixed support for our second claim with retained equity moderating the effect."
Marmenout Katty,,01/11/2011,anglais,Peer interaction in mergers,"Following abundant anecdotal evidence of low morale in mergers and its important detrimental effect on postmerger performance, the purpose of this multimethod experimental study was to find out how employee reactions to a merger evolve over time following peer interaction (i.e., discussion with colleagues). Using a scenario study, initial reactions to a merger announcement were compared with socially influenced reactions. As anticipated, an overall strong detrimental effect of peer interaction on employee reactions was observed. Next, findings indicate that deal characteristics (culture clash potential, announced degree of integration, and position in deal structure) play a moderating role. Indeed, how peer interaction affects outcomes depends on the position in the deal structure. Qualitative data analysis of the group discussions sheds light on how employee reactions become more detrimental. This process is conceptualized as 'collective rumination,' defined as repetitively and passively discussing organizational problems and their negative consequences with a group of peers. The study concludes with implications for practice and identifies three powerful levers (active involvement, distraction, and positive leadership) to influence the way in which employees react to the event."
Melkonian Tessa,Monin NOORDERHAVEN,01/11/2011,anglais,"Distributive justice, procedural justice, exemplarity, and employee’s willingness to cooperate in M&A integration processes","Although employees' willingness to cooperate is acknowledged as a critical success factor for post-M&A (merger-and-acquisition) integration, we still know little about the psychological mechanisms that lie beneath employees' cooperative attitudes and behaviors in this context. Building on the premises of fairness heuristic theory, this longitudinal study explores how the relative importance of distributive and procedural justice judgments for employees' willingness to cooperate shifts over time. We suggest that when employees lack justice-relevant information on both distributive and procedural aspects of decisions, they will use another temporary heuristic to reduce uncertainty by scrutinizing the M&A-related cooperative behaviors of authority figures. We test our hypotheses on data from a four-time repeated cross-sectional survey of employee responses in a post-M&A integration process. The findings provide important insights into how merging firms can enhance employees' willingness to cooperate through the subtle exercise of justice and exemplarity."
Phan Michel,Thomas Heine,01/11/2011,anglais,Social Media and Luxury Brand Management,"Social networks, and social media as the tools, are everywhere in the marketer’s world today. Their growing importance was quickly acknowledged and they were casted one of the top research priorities by the trustees of the Marketing Science Institute (MSI) in 2006. Brands, and in particular luxury brands with their high brand equity, ought to have a clear understanding of what social media could do for them, and develop a clear strategy of how they could enhance customers’ experience and perceptions of their brands.<br /><br /> Social media are highly related with the concept of Web 2.0, which go back to O’Reilly (2005) who realized that the companies that had survived the dot-com bubble in 2001 seemed to have something in common. These shared principles and practices are the modern second era of the web that can be described as Web 2.0. Beyond the social classification of content by tagging (folksonomy), Web 2.0 pages allow and encourage the creation of user-generated content. This includes creating and sharing texts, pictures or videos and commenting and editing on existing content. Besides these practices, the Web 2.0 principles require webpage creators to trust and to involve their users, but enable them to harness network effects and collective intelligence to create applications that actually get better the more people use them. The collection of these interactive, user-controlled applications can be described as social media.<br /><br /> Besides blogs and forums, content communities facilitate storage and sharing of media content between users. They empower users to upload a wide range of different media types, such as photos (e.g., Flickr), videos (e.g., YouTube), PowerPoint presentations (e.g., Slideshare), podcasts (e.g., PodOmatic) and text (e.g., BookCrossing). Social network sites (e.g. LinkedIn) enable users to connect and stay in touch with other people. Brands can exploit the potential of social media by establishing an online brand community, which is a specialized, non-geographically bound community, based on a structured set of social relations among admirers of a brand. A brand community is created by setting up a profile on a social network site or by developing an own brand community website. The most important social media pages that are used by many luxury brands include Facebook, Twitter, and You Tube. These platforms encourage communication between brands and consumers, but also among the consumers themselves as they can view and comment each other’s messages.<br /><br /> This study examines how Burberry succeeded an amazing turnaround from a brand for “chavs” and English hooligans to a major trendsetter in social media marketing. Burberry was the first luxury fashion brand to invest wholeheartedly in social media. Burberry’s Facebook page now has more than 7 millions fans and its Twitter’s account recorded more than 400,000 followers, way ahead of Louis Vuitton, Gucci and other fashion brands. Burberry was also the first to broadcast live and in 3D its fashion show from London to five international cities simultaneously in 2010. In April 2011, Burberry staged a catwalk show in Beijing where live models are mixed with holograms, creating a new and unique experience for its audience. All the videos were immediately posted on YouTube for fans that had missed the shows. This social media strategy helped Burberry to rejuvenate the brand and reposition it as a more fashionable and aspirational one than ever. With this repositioning Burberry can attract younger consumers. However, to preserve its core customer base the company continues to invest in mainstream marketing activities such as print media advertising and public relations. The company recorded a whopping 34% increase in total revenue in the second quarter of 2011 alone, confirming its strong financial health of 39.8% increase in profits (before tax) of the previous financial year, ending at 31st March 2011. The company’s steep rise in recent years gives reason enough to dedicate this paper to analyzing its major strategies and success factors. One of Burberry’s key success factors was undeniably its decision to be the first luxury brand to invest in digital communications, and social media in particular, to reposition its brand as a ‘cool and trendy’, and increase its appeal to younger and web-savvier consumers. Young consumers are the future of all fashion brands and Burberry knows “how” to speak to them directly through social media. Social media platforms such as Facebook or Twitter are the best means to reach young consumers that are increasingly difficult to address via TV advertising. Burberry is the best-ranked luxury brand in the Top Social Network ranking by Famecount in 2011. In the overall brand category, it spotted the 22nd position behind brands such as Coca-Cola, Starbucks and H&M, but the best among luxury brands, ahead of BMW and Chanel (Famecount, 2011). Moreover, Burberry was ranked the most popular FTSE100 Company on Facebook and Twitter, according to a report by social media agency Three-D in 2011 (Retail Week, 2011). Social media seem to play a key role in Burberry’s success. However, how did it actually manage to exploit their potential? Is the high number of fans on social media a good indicator of success? Companies are beginning to understand that the brand transition to social media ultimately involves a re-casting of the customer relationship. In social media, the customer is an ally, not an “audience.” The audience model is a carryover from obsolescent marketing thinking, as if the brand was an “act” in front of a crowd. A brand that considers customers an “audience” often finds itself resorting to theatrics to make an impression. These can work, for a time, but at the cost of a stagnating brand on a shrinking stage. As allies, customers can add value to the brand, many times over. It will be interesting to see how Burberry handles the “customer audience vs. customer ally” question in the future.<br /><br /> The objective of the paper is to highlight how Burberry managed to re-build its luxury image over the last ten years while being closer to its customers than ever and accessible to the mass through its social media marketing. The paper successively presents the heritage of this iconic English fashion brand, its strategy to overcome a major drop in its brand desirability in the late 1990’s with the arrival of Rose Marie Bravo as the Chief Executive Officer. It will then analyze the revitalization strategy of the brand with the arrival of its Creative Director Christopher Bailey in 2001. Burberry’s social media strategy, initiated by the current CEO Angela Ahrendts, and its performance will also be evaluated using the findings of two recent independent studies. Burberry’s social media performance can definitely be improved and it will be with time, as social media will help it to run the business differently. Finally a discussion about the importance of social media for luxury brand management is presented. The conclusion highlights the fast-growing importance of the Chinese market where Burberry is deploying the most advanced brand experience to its consumers. The lessons learned from this study will certainly help luxury brand marketers to engage in social media if they were still hesitant, or improve their social media strategy if they have started, but not sure of how and where to go next."
